epoch,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision
1,0.1679246115819209,0.15677083333333333,0.18308221726190477,0.15677083333333333,0.16475781882146054,0.15677083333333333
2,0.1685646186440678,0.15677083333333333,0.1685646186440678,0.15677083333333333,0.1685646186440678,0.15677083333333333
3,0.1685646186440678,0.15729166666666666,0.1686804819915254,0.15729166666666666,0.1686970338983051,0.15729166666666666
4,0.1685646186440678,0.15885416666666666,0.1685646186440678,0.15885416666666666,0.1685646186440678,0.15885416666666666
5,0.1685646186440678,0.15833333333333333,0.16882944915254236,0.15833333333333333,0.16860213629943502,0.15833333333333333
6,0.1685646186440678,0.15625,0.1685646186440678,0.15625,0.1685646186440678,0.15625
7,0.1685646186440678,0.15572916666666667,0.16882944915254236,0.15572916666666667,0.16868059017392267,0.15572916666666667
8,0.1684322033898305,0.15885416666666666,0.16849841101694915,0.15885416666666666,0.16845427259887005,0.15885416666666666
9,0.1685646186440678,0.15625,0.1685646186440678,0.15625,0.1685646186440678,0.15625
10,0.1685646186440678,0.15729166666666666,0.1685646186440678,0.15729166666666666,0.1685646186440678,0.15729166666666666
11,0.1685646186440678,0.15729166666666666,0.1686970338983051,0.15729166666666666,0.16868232109227874,0.15729166666666666
12,0.1685646186440678,0.15833333333333333,0.1685646186440678,0.15833333333333333,0.1685646186440678,0.15833333333333333
13,0.1685646186440678,0.15729166666666666,0.1685646186440678,0.15729166666666666,0.1685646186440678,0.15729166666666666
14,0.16857933145009416,0.15729166666666666,0.1686970338983051,0.15729166666666666,0.16867295839753466,0.15729166666666666
15,0.1685646186440678,0.1578125,0.1685646186440678,0.1578125,0.1685646186440678,0.1578125
16,0.1685646186440678,0.15833333333333333,0.1685646186440678,0.15833333333333333,0.1685646186440678,0.15833333333333333
17,0.1685646186440678,0.1578125,0.1685646186440678,0.1578125,0.1685646186440678,0.1578125
18,0.1685646186440678,0.159375,0.1685646186440678,0.159375,0.1685646186440678,0.159375
19,0.1685646186440678,0.15625,0.1685646186440678,0.15625,0.1685646186440678,0.15625
20,0.1685646186440678,0.15625,0.1685646186440678,0.15625,0.1685646186440678,0.15625
21,0.20530596331046544,0.3238360164141414,0.21678479425764918,0.3317485682720058,0.2405918961864407,0.3317485682720058
22,0.43579071348701903,0.4823171446608947,0.44763725618631595,0.49028860028860033,0.4930481991525424,0.49028860028860033
23,0.5150931765239234,0.5090894435425686,0.522640058013138,0.5146508049242423,0.5689401964560863,0.5146508049242423
24,0.5089894719363733,0.5126172438672438,0.5156886892900531,0.5195247113997113,0.5642876059322034,0.5195247113997113
25,0.5394429311272531,0.5451135236291488,0.5463532533629858,0.5501323502886002,0.597457627118644,0.5501323502886002
26,0.5569440766242938,0.569492243867244,0.5642370369081835,0.5755576975108225,0.6166578389830508,0.5755576975108225
27,0.5788767192964758,0.5811165223665223,0.5855592032217429,0.587064393939394,0.6381091101694916,0.587064393939394
28,0.5987977535647028,0.5884912743506495,0.6046821728545112,0.592923768939394,0.6598252118644068,0.592923768939394
29,0.6131825691081517,0.6175056367243866,0.6186321198884096,0.6231798453282827,0.673728813559322,0.6231798453282827
30,0.6316919884567527,0.6257211625180373,0.6371581174166581,0.631205018939394,0.6933262711864406,0.631205018939394
31,0.638451629548359,0.6378354978354978,0.643712672501404,0.6437527619949495,0.6992849576271186,0.6437527619949495
32,0.644768231268496,0.6487556367243867,0.6501083292810649,0.6549246369949496,0.706832627118644,0.6549246369949496
33,0.6492807802411218,0.6425353986291487,0.6542021675579011,0.6484923453282828,0.7108050847457628,0.6484923453282828
34,0.6595801385525963,0.6557174422799423,0.6646254549872798,0.6614437342171716,0.7215969279661016,0.6614437342171716
35,0.663006146800175,0.6684468569624821,0.6679501813290875,0.6738346072330449,0.7261652542372882,0.6738346072330449
36,0.6738010639460585,0.66943272005772,0.6785555397330425,0.6747163036616162,0.7366260593220338,0.6747163036616162
37,0.6774465820049771,0.6739627299783549,0.6821241308347372,0.6794813086219337,0.7409957627118644,0.6794813086219337
38,0.6871627614675814,0.6759245355339104,0.6916514083771101,0.6820290516774892,0.7505296610169492,0.6820290516774892
39,0.6921292005061205,0.6800564799783548,0.6967118780098787,0.6845253314393939,0.7560248940677966,0.6845253314393939
40,0.6947314229805622,0.6793893172799421,0.6986571211495072,0.6841564078282828,0.758739406779661,0.6841564078282828
