accuracy,recall,precision
0.6838778409090909,0.7134943181818181,0.8046875
0.7132564484126984,0.7542782738095238,0.8033854166666666
0.6747395833333334,0.7119791666666667,0.78125
0.6921875,0.7322916666666667,0.85546875
0.6963541666666667,0.7307291666666668,0.8125
0.7494109623015872,0.7790178571428572,0.8385416666666667
0.7275545634920634,0.7753968253968253,0.8359375
0.6940104166666666,0.7252604166666666,0.8203125
0.7453125,0.7671875,0.8151041666666666
0.7093936011904761,0.7299293154761904,0.8541666666666666
