epoch,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision
1,0.1727735894049453,0.15625,0.18075084655957271,0.15625,0.1807444964121214,0.15625
2,0.3220398455270013,0.44100119498556994,0.3282431027879254,0.4444341856060606,0.3645948933952112,0.4444341856060606
3,0.48938103225047086,0.4072782512626263,0.4950175407587352,0.4104068023989899,0.5386321504237288,0.4104068023989899
4,0.5052670054242485,0.4863360164141414,0.513865336457034,0.4950765467171717,0.5563617695569496,0.4950765467171717
5,0.4498001079370253,0.5476653814935065,0.4561674306228729,0.554160128066378,0.5043697033898306,0.554160128066378
6,0.5441704184322033,0.5618283279220778,0.5511793770980079,0.5696859217171718,0.6011652542372882,0.5696859217171718
7,0.5736251718723252,0.5786301632395383,0.5799664533691944,0.5853543244949495,0.6307127723970944,0.5853543244949495
8,0.5903689494062904,0.5817923656204906,0.5973660724206937,0.5883491161616162,0.6488347457627118,0.5883491161616162
9,0.5965870493677697,0.6198628021284271,0.6035838174228667,0.626613005050505,0.6567796610169492,0.626613005050505
10,0.6202432366362449,0.6363682584776335,0.6272025395817107,0.6426323502886003,0.680614406779661,0.6426323502886003
11,0.6380992888937803,0.6410818001443002,0.6449372589583792,0.6485971320346321,0.6995497881355932,0.6485971320346321
12,0.6578273098135388,0.6557258973665223,0.6640150837201289,0.6627154356060605,0.7202065677966102,0.6627154356060605
13,0.6814246142569766,0.6733660263347763,0.6878389525155284,0.679642518939394,0.745365466101695,0.679642518939394
14,0.7028452465025558,0.7102273854617603,0.7091820845776752,0.7163178661616161,0.7689353813559322,0.7163178661616161
15,0.7139989984782755,0.688767812049062,0.7197664772330423,0.694486268939394,0.7795286016949152,0.694486268939394
16,0.7272958808346783,0.7288161751443,0.7325500665692009,0.7349512987012986,0.792770127118644,0.7349512987012986
17,0.7399001363514075,0.7263250811688311,0.7445866131793699,0.7317816558441558,0.8045550847457628,0.7317816558441558
18,0.7452085382617031,0.7359904852092353,0.7497243250437768,0.740309907106782,0.8114406779661016,0.740309907106782
19,0.7563587171273877,0.7506159812409813,0.7597084352132686,0.755917545995671,0.8205773305084746,0.755917545995671
20,0.7571338765989191,0.7290790719696968,0.7607112261193961,0.7342295725108225,0.8217690677966102,0.7342295725108225
21,0.762216389167859,0.759170837842713,0.7656119486313474,0.7641911300505051,0.8277277542372882,0.7641911300505051
22,0.7762129657654021,0.7642229211760462,0.7797351389562063,0.769455266955267,0.8417637711864406,0.769455266955267
23,0.7883839783833162,0.7657397637085136,0.7918676866256977,0.770924761002886,0.8557997881355932,0.770924761002886
24,0.792362163495638,0.7659825937950937,0.7957982127556414,0.7712130794552668,0.8596398305084746,0.7712130794552668
25,0.8001087792268935,0.7750909767316017,0.8035566431934943,0.7780924197330447,0.8671875,0.7780924197330447
26,0.8049284451644753,0.7801170183982685,0.8076471710889745,0.7830886994949495,0.8720868644067796,0.7830886994949495
27,0.8106098868910044,0.7791313807720057,0.8135595121906695,0.7822630321067822,0.878707627118644,0.7822630321067822
28,0.8157082339153314,0.7838384965728714,0.819007296442082,0.7869031836219338,0.8851959745762712,0.7869031836219338
29,0.814522521197905,0.7820031791125541,0.8177394203827599,0.7858925189393939,0.8836069915254238,0.7858925189393939
30,0.819610227710731,0.7810346771284272,0.8223629196765453,0.784894255050505,0.8885063559322034,0.784894255050505
31,0.8243613868696628,0.7842117604617604,0.8270239366256977,0.7876546717171719,0.893405720338983,0.7876546717171719
32,0.8276825090516825,0.788847177128427,0.8301776265974492,0.7926633522727271,0.8960540254237288,0.7926633522727271
33,0.8284229883375805,0.7931130501443,0.8309257727838898,0.7964443542568543,0.8976430084745762,0.7964443542568543
34,0.8290384517642198,0.7878094561688312,0.8314775030098785,0.7914954229797978,0.8980402542372882,0.7914954229797978
35,0.8367318831268779,0.7927831890331891,0.8392282092245679,0.7961963383838385,0.9059851694915254,0.7961963383838385
36,0.8338885330476962,0.7917591089466087,0.8364783857782401,0.7947940340909089,0.9037341101694916,0.7947940340909089
37,0.837961931033303,0.796845689033189,0.8405744309759803,0.7999984217171717,0.908103813559322,0.7999984217171717
38,0.8403152969029558,0.7934168695887447,0.8427515584477316,0.7970036300505051,0.9098252118644068,0.7970036300505051
39,0.8410268712572739,0.8027918695887447,0.8436012229957544,0.8057275883838384,0.910884533898305,0.8057275883838384
40,0.8425632034808412,0.7957482187950937,0.8451019292104435,0.7994775883838384,0.9130031779661016,0.7994775883838384
41,0.8453844843509833,0.8010557584776333,0.8476520263149634,0.8041650883838383,0.914989406779661,0.8041650883838383
42,0.8443423495495793,0.7989600243506492,0.8465551866256978,0.8022429653679651,0.9137976694915254,0.8022429653679651
43,0.8467918215700261,0.795704816017316,0.8489739719364322,0.7988811102092352,0.916843220338983,0.7988811102092352
44,0.8462276380046508,0.7994064529220779,0.8485347946765454,0.8028196022727273,0.9164459745762712,0.8028196022727273
45,0.848435820006265,0.8012851731601731,0.8505607480663759,0.8047169237012988,0.918167372881356,0.8047169237012988
46,0.8494355026300208,0.802674062049062,0.8516178631793702,0.805894999098124,0.9194915254237288,0.805894999098124
47,0.8486347056163,0.7974099251443001,0.8505552307641159,0.8003890467171717,0.9179025423728814,0.8003890467171717
48,0.8492391392153044,0.798594200937951,0.8513596534336074,0.8021811868686869,0.9192266949152542,0.8021811868686869
49,0.8500207044897194,0.7992328418109669,0.8521320757499917,0.8023979752886002,0.9201536016949152,0.8023979752886002
50,0.8499933281613633,0.7999099251443001,0.8523660093658109,0.8032275883838385,0.9202860169491526,0.8032275883838385
51,0.8508834529259581,0.7988585633116884,0.8525911152980141,0.8019732481060606,0.920021186440678,0.8019732481060606
52,0.8545461534404861,0.8012554112554113,0.856700402021178,0.804364741161616,0.924655720338983,0.804364741161616
53,0.853937200908202,0.8043109668109669,0.856069222642647,0.8075939078282828,0.9239936440677966,0.8075939078282828
54,0.855570164739921,0.8014029806998556,0.857722206399709,0.804425505050505,0.9253177966101694,0.804425505050505
55,0.8544832514178382,0.8040505501443,0.8566209528686357,0.8072466856060605,0.924655720338983,0.8072466856060605
56,0.8541633052093857,0.8045540223665223,0.8561288095070536,0.8078630050505051,0.9239936440677966,0.8078630050505051
57,0.8560986172049466,0.8036686056998558,0.8579704850014038,0.8074649395743145,0.925052966101695,0.8074649395743145
58,0.8570810122816214,0.8063335362554113,0.8592516025861499,0.8098508522727272,0.9271716101694916,0.8098508522727272
59,0.8568571674470775,0.8065381493506492,0.8587903561172231,0.8100554653679654,0.9270391949152542,0.8100554653679654
60,0.8580048714086057,0.8065245084776334,0.8598960234901047,0.8097640467171717,0.9279661016949152,0.8097640467171717
61,0.8582749564906609,0.8036041215728715,0.8601431986313474,0.806769255050505,0.9282309322033898,0.806769255050505
62,0.8591249888588341,0.8024099251443002,0.8611021057641158,0.8055366161616161,0.9292902542372882,0.8055366161616161
63,0.857655021899593,0.8047276334776333,0.8593707763149635,0.8082015467171716,0.9271716101694916,0.8082015467171716
64,0.8577395106658879,0.8034728986291487,0.8595914684053588,0.8068686868686867,0.9275688559322034,0.8068686868686867
65,0.8584412111987589,0.802904716810967,0.8604080291398221,0.806370174963925,0.9286281779661016,0.806370174963925
66,0.8581600389664481,0.8043109668109669,0.8601961647330425,0.8075505050505051,0.9290254237288136,0.8075505050505051
67,0.859378574579846,0.8036859668109667,0.8613834881793703,0.8072900883838384,0.9296875,0.8072900883838384
68,0.8605669441640045,0.8042068001443002,0.8625752254675055,0.8075505050505052,0.9311440677966102,0.8075505050505052
69,0.8600299840666632,0.8056130501443001,0.8620058398742854,0.8088525883838383,0.9303495762711864,0.8088525883838383
70,0.8603483586799265,0.8059218299062049,0.8622552219364322,0.8092087166305916,0.9308792372881356,0.8092087166305916
71,0.860183627798167,0.8051182584776334,0.8620234952415171,0.8084619633838382,0.9302171610169492,0.8084619633838382
72,0.8597015684409754,0.8025180375180374,0.8616439048460367,0.8060310132575755,0.9299523305084746,0.8060310132575755
73,0.86095857230987,0.8002137445887445,0.8629515054816298,0.8035574494949494,0.9310116525423728,0.8035574494949494
74,0.8601094021694525,0.8010693993506496,0.8621404620494265,0.8043262987012987,0.930614406779661,0.8043262987012987
75,0.8607409230952664,0.8018804112554113,0.8626822611313475,0.8052193813131313,0.9308792372881356,0.8052193813131313
76,0.8617867981976829,0.8024880501443001,0.8639379991256978,0.8058577967171717,0.9322033898305084,0.8058577967171717
77,0.8605261734499022,0.8026182584776335,0.8623269468658108,0.8059098800505051,0.930614406779661,0.8059098800505051
78,0.8601319227941314,0.8056130501443002,0.8619683222189181,0.8088525883838386,0.9303495762711864,0.8088525883838386
79,0.8621633934862218,0.8047276334776334,0.8638651707358672,0.8080713383838383,0.9322033898305084,0.8080713383838383
80,0.8609842146289446,0.8036338834776336,0.8627915037160934,0.8068734217171717,0.9310116525423728,0.8068734217171717
81,0.8603645427665555,0.8058734668109668,0.8621669451002741,0.8092432133838384,0.9303495762711864,0.8092432133838384
82,0.861543406349418,0.8039811056998557,0.8635076495494265,0.8071338383838383,0.9319385593220338,0.8071338383838383
83,0.8609835840801149,0.802705064033189,0.8630342650155282,0.8058577967171717,0.931541313559322,0.8058577967171717
