accuracy,recall,precision
0.5009009009009009,0.5414414414414414,0.9459459459459459
0.41883116883116883,0.5409090909090909,0.9242424242424242
0.5995098039215686,0.6274509803921569,0.9313725490196079
0.5317155067155067,0.5959096459096459,0.9658119658119657
0.597943722943723,0.6174242424242423,0.9090909090909091
0.5083333333333333,0.5444444444444444,0.888888888888889
0.5206666666666667,0.5786666666666668,0.91
0.5536375661375662,0.5962962962962963,0.9018518518518519
0.41190476190476194,0.4785714285714286,0.8166666666666667
0.5232142857142857,0.6091666666666666,0.9416666666666667
