accuracy,recall,precision
0.975609756097561,0.975609756097561,0.975609756097561
1.0,1.0,1.0
1.0,1.0,1.0
0.96875,0.96875,0.96875
0.9230769230769231,0.9230769230769231,0.9230769230769231
1.0,1.0,1.0
0.967741935483871,0.967741935483871,0.967741935483871
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9666666666666667,0.9666666666666667,0.9666666666666667
0.9714285714285714,0.9714285714285714,0.9714285714285714
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9411764705882353,0.9411764705882353,0.9411764705882353
1.0,1.0,1.0
0.9722222222222222,0.9722222222222222,0.9722222222222222
0.9736842105263158,0.9736842105263158,0.9736842105263158
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.967741935483871,0.967741935483871,0.967741935483871
0.967741935483871,0.967741935483871,0.967741935483871
1.0,1.0,1.0
1.0,1.0,1.0
0.9642857142857143,0.9642857142857143,0.9642857142857143
1.0,1.0,1.0
0.9333333333333333,0.9333333333333333,0.9333333333333333
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9696969696969697,0.9696969696969697,0.9696969696969697
0.92,0.92,0.92
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9642857142857143,0.9642857142857143,0.9642857142857143
1.0,1.0,1.0
1.0,1.0,1.0
0.9230769230769231,0.9230769230769231,0.9230769230769231
1.0,1.0,1.0
1.0,1.0,1.0
0.9565217391304348,0.9565217391304348,0.9565217391304348
1.0,1.0,1.0
0.9696969696969697,0.9696969696969697,0.9696969696969697
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.96875,0.96875,0.96875
0.9354838709677419,0.9354838709677419,0.9354838709677419
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.975,0.975,0.975
0.9629629629629629,0.9629629629629629,0.9629629629629629
0.9354838709677419,0.9354838709677419,0.9354838709677419
1.0,1.0,1.0
0.9743589743589743,0.9743589743589743,0.9743589743589743
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9615384615384616,0.9615384615384616,0.9615384615384616
1.0,1.0,1.0
1.0,1.0,1.0
0.9333333333333333,0.9333333333333333,0.9333333333333333
0.9722222222222222,0.9722222222222222,0.9722222222222222
1.0,1.0,1.0
1.0,1.0,1.0
0.9696969696969697,0.9696969696969697,0.9696969696969697
0.9761904761904762,0.9761904761904762,0.9761904761904762
0.9583333333333334,0.9583333333333334,0.9583333333333334
0.9642857142857143,0.9642857142857143,0.9642857142857143
1.0,1.0,1.0
0.96875,0.96875,0.96875
1.0,1.0,1.0
0.9629629629629629,0.9629629629629629,0.9629629629629629
1.0,1.0,1.0
0.9767441860465116,0.9767441860465116,0.9767441860465116
0.9615384615384616,0.9615384615384616,0.9615384615384616
