epoch,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision
1,0.40610223076701546,0.5561929570766938,0.41459650938609716,0.5642336304944406,0.46839923469387756,0.5642336304944406
2,0.6003325797029185,0.6277498365164433,0.6079606013770602,0.6334509283654923,0.6667131696428571,0.6334509283654923
3,0.6464171890419921,0.666548579826827,0.6524129563502266,0.6720064108036201,0.7123724489795918,0.6720064108036201
4,0.6732991329909004,0.6748451827041608,0.6796066508006174,0.6801928969166603,0.7418297193877551,0.6801928969166603
5,0.6894629581654924,0.6886118443490185,0.6963929522530166,0.6967675612884451,0.7588520408163266,0.6967675612884451
6,0.7085884829019021,0.7070307896829663,0.7200661529180437,0.7225977703322237,0.778889351719709,0.7225977703322237
7,0.7167764300358836,0.7152865135412344,0.7306647094407401,0.7289370154927005,0.7857671244306289,0.7289370154927005
8,0.7298033142562095,0.7216811433446418,0.7449002691730829,0.7370078426034936,0.7989184521892964,0.7370078426034936
9,0.7359416823365419,0.7277511678041999,0.7512638325580815,0.7414293492953774,0.8050222492041688,0.7414293492953774
10,0.7457580072748796,0.7306503060434117,0.7611296437390516,0.7441177236768866,0.8153274620344932,0.7441177236768866
11,0.753572973609607,0.7386395496696142,0.7684754397534073,0.7536427215849687,0.822653838658861,0.7536427215849687
12,0.764244898961187,0.744801476503202,0.7791603168292376,0.7600933658877238,0.8326206477054692,0.7600933658877238
13,0.7677106990960721,0.7484926975974718,0.7817787152521266,0.7612745584383493,0.8368920872034713,0.7612745584383493
14,0.7714127961062046,0.7468604890431585,0.7856544749091362,0.7618869089685796,0.8408515359268706,0.7618869089685796
15,0.7740725357096718,0.7502121628220912,0.7884394896830278,0.7617728987980649,0.8422458402832287,0.7617728987980649
16,0.7813755907374607,0.7540762200648197,0.7953317628989242,0.7666361936326633,0.8496319519394296,0.7666361936326633
17,0.7850942843957222,0.7566874904736807,0.799486107773529,0.7703363327100845,0.854747527336255,0.7703363327100845
18,0.791184025205362,0.7609671756525604,0.8054746102549413,0.7745824805816816,0.8600291193801237,0.7745824805816816
19,0.7954575499743897,0.7572198222117539,0.8100594257188598,0.7693900948337258,0.865257498391985,0.7693900948337258
20,0.7982741673896151,0.766538623507337,0.8124239471077377,0.7782979683425141,0.8685905023795648,0.7782979683425141
21,0.8027792785565566,0.7649463506149043,0.8171425638473631,0.7777559909888047,0.8725067093744548,0.7777559909888047
22,0.8061090956706111,0.7677584118674422,0.8199704286106927,0.7804502283404356,0.8751109796081895,0.7804502283404356
23,0.8121278833248042,0.7651930119118664,0.8267946927386921,0.7797827810175844,0.8816794957894288,0.7797827810175844
24,0.8138196643167754,0.7716688298060237,0.8297134539276083,0.785864547401824,0.882939016031092,0.785864547401824
25,0.8167881510303714,0.7694980081657053,0.8329475500208826,0.7840459097097893,0.8867149675101684,0.7840459097097893
26,0.8158410816832559,0.7726667329219449,0.8317274771869705,0.7858920878493906,0.885334938684827,0.7858920878493906
27,0.8201288582303551,0.771662283504801,0.8354774002986977,0.784789765732958,0.889476869794392,0.784789765732958
28,0.8218853869745743,0.7742349916091874,0.8370063578607434,0.7881637363826848,0.8910951046101715,0.7881637363826848
29,0.8241189024743055,0.7735151661814169,0.8392590934756771,0.7876769380045043,0.893400489763213,0.7876769380045043
