accuracy,recall,precision
0.9378531073446328,0.9378531073446328,0.9378531073446328
0.8920454545454546,0.8920454545454546,0.8920454545454546
0.9248554913294798,0.9248554913294798,0.9248554913294798
0.9367816091954023,0.9367816091954023,0.9367816091954023
0.9148936170212766,0.9148936170212766,0.9148936170212766
0.9184782608695652,0.9184782608695652,0.9184782608695652
0.9230769230769231,0.9230769230769231,0.9230769230769231
0.9344262295081968,0.9344262295081968,0.9344262295081968
0.9005524861878453,0.9005524861878453,0.9005524861878453
0.9034090909090909,0.9034090909090909,0.9034090909090909
