accuracy,recall,precision
0.8972842261904762,0.8972842261904762,0.984375
0.880357142857143,0.888169642857143,0.96875
0.80078125,0.80078125,0.875
0.9229166666666667,0.9229166666666667,0.96875
0.8255208333333334,0.8255208333333334,0.90625
0.7791666666666667,0.786328125,0.859375
0.8385416666666667,0.8385416666666667,0.875
0.8307291666666667,0.8307291666666667,0.90625
0.7735863095238095,0.7735863095238095,0.875
0.8661458333333333,0.8739583333333333,0.953125
0.890625,0.890625,0.921875
0.9065290178571428,0.9065290178571428,0.984375
0.8541666666666667,0.8541666666666667,0.9375
0.8432778159340659,0.8530434409340659,1.0
0.8821614583333334,0.8880208333333334,0.9375
0.8177083333333334,0.8229166666666667,0.921875
0.8493923611111112,0.8513454861111112,0.90625
0.7335069444444444,0.7335069444444444,0.84375
0.8580729166666667,0.8603050595238096,0.9375
0.82734375,0.82734375,0.890625
0.84375,0.84375,0.921875
0.8541666666666666,0.8671875,0.921875
0.828125,0.828125,0.90625
0.8308779761904761,0.8308779761904761,0.90625
0.8984375,0.8984375,0.9375
0.85078125,0.85859375,0.9375
0.8958333333333333,0.8958333333333333,0.953125
0.8763020833333334,0.8763020833333334,0.9375
0.9010416666666666,0.9010416666666666,0.9375
0.8997395833333334,0.8997395833333334,0.9375
0.846875,0.8546875,0.953125
0.9427083333333333,0.9427083333333333,0.96875
0.8079427083333333,0.8079427083333333,0.90625
0.8095238095238095,0.8199404761904763,0.9375
0.85078125,0.85078125,0.921875
0.8247395833333333,0.8247395833333333,0.890625
0.79296875,0.79296875,0.875
0.78515625,0.78515625,0.90625
0.8484375000000001,0.8588541666666667,0.953125
0.8150040064102564,0.8189102564102564,0.921875
0.7947048611111112,0.796937003968254,0.90625
0.8255208333333333,0.8294270833333333,0.890625
0.9309895833333333,0.9309895833333333,0.96875
0.8841145833333333,0.8841145833333333,0.953125
0.9140625,0.91796875,0.953125
0.8343750000000001,0.836607142857143,0.90625
0.8385416666666666,0.8437499999999999,0.90625
0.8743489583333334,0.8743489583333334,0.921875
0.9192708333333334,0.9192708333333334,0.953125
0.8294270833333334,0.8346354166666667,0.9375
0.8697916666666666,0.8697916666666666,0.9375
0.9088541666666666,0.9088541666666666,0.984375
0.85546875,0.85546875,0.921875
0.91015625,0.91796875,0.984375
0.875,0.8828125,0.921875
0.8733258928571428,0.8733258928571428,0.96875
0.8059895833333334,0.8059895833333334,0.875
0.8669270833333333,0.8680431547619047,0.953125
0.8182291666666666,0.8182291666666666,0.90625
0.8316592261904762,0.8316592261904762,0.9375
0.9049479166666666,0.9049479166666666,0.953125
0.7934027777777778,0.7934027777777778,0.90625
0.9119791666666667,0.9119791666666667,0.953125
0.888671875,0.8912760416666666,0.953125
0.859375,0.859375,0.90625
0.8270833333333334,0.8423363095238096,0.9375
0.9131944444444444,0.9154265873015873,1.0
0.7981770833333333,0.7981770833333333,0.859375
0.8346354166666666,0.8524925595238095,0.953125
0.8828125,0.8828125,0.9375
0.8065104166666667,0.81171875,0.890625
0.8463541666666667,0.8485863095238096,0.90625
0.7942708333333334,0.7942708333333334,0.890625
0.828125,0.828125,0.890625
0.9166666666666666,0.9166666666666666,0.984375
0.8802083333333334,0.8813244047619048,0.9375
0.8415798611111112,0.8415798611111112,0.921875
0.8765811011904762,0.8765811011904762,0.96875
0.8567708333333334,0.8619791666666666,0.921875
0.8599330357142857,0.8599330357142857,0.921875
0.9088541666666666,0.9088541666666666,0.96875
0.7049479166666666,0.7192708333333333,0.859375
0.7830729166666667,0.7830729166666667,0.90625
0.8072916666666667,0.8072916666666667,0.859375
0.8528645833333334,0.8528645833333334,0.90625
0.8294270833333334,0.8394717261904763,0.9375
0.8832465277777777,0.8832465277777777,0.953125
0.8815104166666667,0.8815104166666667,0.9375
0.8515625,0.8515625,0.875
0.8550967261904762,0.8550967261904762,0.90625
0.890625,0.890625,0.9375
0.8543154761904762,0.8543154761904762,0.921875
0.8846354166666668,0.8865885416666668,0.96875
0.9231770833333334,0.92578125,0.984375
0.8671875,0.8671875,0.9375
0.8372395833333333,0.8424479166666666,0.90625
0.8274739583333334,0.8274739583333334,0.890625
0.8539062500000001,0.863950892857143,0.96875
0.8629092261904763,0.8629092261904763,0.921875
0.8590029761904762,0.8590029761904762,0.90625
