epoch,train_acc,test_acc,train_recall,test_recall,train_precision,test_precision
1,0.46685179962457507,0.5050077504960317,0.4735858524126533,0.5108467017646705,0.5295286016949152,0.5108467017646705
2,0.5530242889319954,0.6575771949404761,0.5582599508248342,0.6624092017646706,0.6183792372881356,0.6624092017646706
3,0.693194873408724,0.7051488095238095,0.6988650885366986,0.7097182295424482,0.7590042372881356,0.7097182295424482
4,0.7235303626458288,0.7357637855489418,0.7287866191600303,0.739965005336099,0.791114936440678,0.739965005336099
5,0.7430727045729694,0.7467186466600528,0.7476951051831878,0.7503382692249879,0.8102489406779662,0.7503382692249879
6,0.7596855596292831,0.7505988549933862,0.7636669070395237,0.7548955608916545,0.8273305084745762,0.7548955608916545
7,0.765213990194128,0.7626904743115682,0.7699900062419925,0.7673492270171958,0.8341397082790092,0.7673492270171958
8,0.7754925828350085,0.7761095610119048,0.7794820175116786,0.7798261164472102,0.8440148305084746,0.7798261164472102
9,0.7854695467844305,0.7652870783730158,0.7895261349114634,0.7698897738546174,0.8546080508474576,0.7698897738546174
10,0.7996748660943577,0.7767366278108465,0.8030405828869811,0.7813762156535593,0.8691737288135594,0.7813762156535593
11,0.8094197355287133,0.7863575768849206,0.8130534800357365,0.7904473962091151,0.879104872881356,0.7904473962091151
12,0.8097113070398293,0.7783053469967532,0.8130007322009442,0.7827303823202261,0.880031779661017,0.7827303823202261
13,0.812299959853588,0.7880759323142137,0.8150299353424355,0.7911418406535595,0.8824152542372882,0.7911418406535595
14,0.8155804555466898,0.7925420781475467,0.8190494294870619,0.7962199656535593,0.8861228813559322,0.7962199656535593
15,0.8275420605465625,0.7971254114808801,0.8306093418116722,0.8004300350980038,0.8979078389830508,0.8004300350980038
16,0.8330896420111197,0.7963325874068061,0.8356867150034523,0.7996270837091148,0.9033368644067796,0.7996270837091148
17,0.8345988558581251,0.7986011059253247,0.8370763395326425,0.801992535098004,0.9053083804143126,0.801992535098004
18,0.8395348971884988,0.8038528420364358,0.8422007573258898,0.8083727434313371,0.9106859110169492,0.8083727434313371
19,0.8491190635738438,0.8044344392586581,0.8518378109943259,0.8079821184313372,0.9206425195567145,0.8079821184313372
20,0.8488772662865619,0.8117744690205628,0.8517492107997936,0.8157251739868927,0.9196923552259887,0.8157251739868927
21,0.8522549587300647,0.8034940457401395,0.855047716819433,0.8065498267646706,0.9234639830508474,0.8065498267646706
22,0.8555733318147247,0.809495203147547,0.8583769620945204,0.8142259180345117,0.9264911428907721,0.8142259180345117
23,0.8591483860419241,0.8153979809253247,0.8615332268073262,0.8198248763678451,0.9312433792372882,0.8198248763678451
24,0.8610812122199836,0.8150507587031026,0.8640057461958947,0.8186178657858346,0.9324446798493409,0.8186178657858346
