epoch,train_acc,test_acc,train_recall,test_recall,train_precision,test_precision
1,0.16024909420289854,0.15797621168923734,0.17965155117753626,0.15797621168923734,0.16009379108528135,0.15797621168923734
2,0.1663770137810559,0.15788464203690505,0.1696665642253278,0.15829225073255723,0.1727121074879227,0.15829225073255723
3,0.2252293234392419,0.2640662564770503,0.23316880913093546,0.274093655095721,0.2648725414078675,0.274093655095721
4,0.361190064464521,0.44015450345914076,0.3690983592414619,0.44597137743673626,0.4149116847826087,0.44597137743673626
5,0.5141216385233879,0.5460600521911663,0.5214098294364239,0.5521635586258549,0.5798845108695653,0.5521635586258549
6,0.5742198713593925,0.5781430885418434,0.5803109946962849,0.5846915121183709,0.6392595108695652,0.5846915121183709
7,0.5932016008221851,0.5933082603958071,0.5991897854405647,0.5999411472539646,0.6616508152173913,0.5999411472539646
8,0.6169725669861539,0.6074751882481134,0.6228343069596466,0.6140043631942966,0.6859850543478261,0.6140043631942966
9,0.6220805855715843,0.6126039660265983,0.6277582007176098,0.619000592575215,0.6881997282608695,0.619000592575215
10,0.6346441966661056,0.6174911868629015,0.6408605939463616,0.6230861458539035,0.7042527173913044,0.6230861458539035
11,0.6391354541065818,0.6135871642328232,0.6447010981734147,0.6211254902222639,0.7073845108695652,0.6211254902222639
12,0.64203335783329,0.6151093859600741,0.6474908966335599,0.6212290761817725,0.7103192934782608,0.6212290761817725
13,0.6358231959955805,0.6363328802580073,0.6414988223581973,0.6428782765559706,0.705421195652174,0.6428782765559706
14,0.658987520725802,0.6375078178916495,0.6641058196408061,0.6439895485326871,0.7269904891304348,0.6439895485326871
15,0.6689714805687972,0.6433463775894059,0.6739605524306611,0.649396767438603,0.7381521739130434,0.649396767438603
16,0.6813960594809779,0.6644161568464402,0.686316417466893,0.6710461003943441,0.7516372282608696,0.6710461003943441
17,0.6957329593903983,0.6755206698160969,0.7008377791818688,0.6823001255699881,0.7677921195652174,0.6823001255699881
18,0.7029435895663816,0.6717749760646121,0.708021655993463,0.6800601338855025,0.7759714673913044,0.6800601338855025
19,0.7074898418308745,0.6823152617619275,0.7124348126963614,0.6882496162447328,0.7796331521739129,0.6882496162447328
20,0.7122812254359469,0.6812205094454626,0.7169664347201712,0.6872331931038441,0.7852105978260869,0.6872331931038441
